Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
225th,Rotislavs,27m 30s 066ms,27m 30s 066ms,1.16.1,Easy,F3,Vanilla,6 days ago
226th,NamelyNici,27m 43s 330ms,27m 35s 100ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
227th,Godzito,27m 55s 720ms,27m 37s 950ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
228th,nucket,27m 44s 850ms,27m 44s 850ms,1.16.1,Normal,F3,Vanilla,5 months ago
229th,Acilith,27m 47s 056ms,27m 47s 056ms,1.16.1,Easy,F3,Vanilla,1 month ago
230th,shdodude,27m 58s 320ms,27m 49s 400ms,1.16.1,Easy,F3,JellySquid,1 month ago
231st,CheekiiHD,27m 49s 968ms,27m 49s 968ms,1.16.1,Easy,F3,JellySquid,2 months ago
232nd,m3r0,28m 35s 450ms,27m 55s 600ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
233rd,HBomb94,27m 56s,27m 56s,1.16.1,Normal,F3,Vanilla,5 months ago
233rd,Clarenz,27m 56s,27m 56s,1.16.1,Normal,F3,JellySquid,1 month ago
235th,markus002,31m 22s 029ms,28m 00s 095ms,1.16.1,Normal,F3,JellySquid,5 months ago
236th,MiGor,28m 03s,28m 03s,1.16.1,Easy,F3,Vanilla,2 weeks ago
237th,iggieo,28m 12s 840ms,28m 04s 600ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
238th,Crackpixel,28m 12s,28m 05s 050ms,1.6.1,Easy,F3,JellySquid,1 month ago
239th,672JengaBlocks,28m 10s 830ms,28m 08s 450ms,1.16.1,Normal,F3,Vanilla,1 month ago
240th,xQcOW_,28m 10s 500ms,28m 10s 500ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
241st,Neo_kk,28m 16s,28m 14s,1.16.1,Easy,F3,Vanilla,5 months ago
242nd,Boe6Eod7Nty,29m 27s 670ms,28m 14s 150ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
243rd,blazejPL,28m 36s 460ms,28m 17s 070ms,1.16.1,Normal,F3,JellySquid,3 months ago
244th,Hishfish,30m 54s 795ms,28m 18s 050ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
245th,buszz,28m 27s 092ms,28m 20s 095ms,1.16.1,Normal,F3,JellySquid,3 months ago
246th,Quade,28m 21s 200ms,28m 21s 200ms,1.16.1,Easy,F3,JellySquid,2 months ago
247th,GonikGoroshi,28m 23s,28m 22s,1.16.1,Easy,F3,Vanilla,2 months ago
248th,Handymail,28m 22s 450ms,28m 22s 450ms,1.16.1,Normal,F3,Vanilla,2 months ago
249th,aidenb,28m 46s,28m 24s 200ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
250th,Scar,28m 52s 840ms,28m 25s 350ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
251st,Daferade,28m 31s 072ms,28m 26s 085ms,1.16.1,Easy,F3,Vanilla,2 months ago
252nd,Dannyxv8,28m 42s 760ms,28m 26s 200ms,1.16.1,Normal,F3,JellySquid,3 months ago
253rd,Kyle,28m 33s,28m 33s,1.16.1,Easy,F3,Vanilla,2 months ago
254th,Krypticphox,28m 34s,28m 34s,1.16.1,Normal,F3,JellySquid,2 weeks ago
255th,RealHouston,28m 37s 210ms,28m 34s 100ms,1.16.1,Normal,F3,Vanilla,1 month ago
256th,ninja_redstone,28m 35s 030ms,28m 35s 020ms,1.16.1,Normal,F3,Vanilla,2 months ago
257th,WildWill279,28m 35s 022ms,28m 35s 022ms,1.16.1,Normal,F3,Vanilla,4 months ago
258th,minaxa,28m 39s 640ms,28m 39s 900ms,1.16.1,Easy,F3,Vanilla,3 months ago
259th,ChrisS97,28m 44s,28m 40s 250ms,1.16.1,Normal,F3,Vanilla,1 month ago
260th,c10sens,30m 15s 250ms,28m 41s,1.16.1,Normal,F3,JellySquid,2 months ago
261st,Dejman_,29m 02s 500ms,28m 41s 150ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
262nd,ojoojo,28m 47s 010ms,28m 43s 300ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
263rd,Nolif,28m 45s 983ms,28m 45s 983ms,1.16.1,Normal,F3,Optifine,5 months ago
264th,maSSon4eG-O_o,28m 46s 220ms,28m 46s 220ms,1.16.1,Normal,F3,Vanilla,4 months ago
265th,Koby,28m 47s 240ms,28m 47s 240ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
266th,Tochter,29m 05s,28m 50s,1.16.1,Hardcore,No F3,JellySquid,3 months ago
267th,Tunks,28m 55s 930ms,28m 52s 002ms,1.6.1,Easy,F3,Vanilla,1 month ago
268th,AxelLarsen,28m 57s 022ms,28m 52s 045ms,1.16.1,Easy,F3,Vanilla,1 month ago
269th,Redpaanda,28m 52s 620ms,28m 52s 620ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
270th,Dayto,28m 53s 270ms,28m 53s 270ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
271st,Reparzival,28m 56s,28m 56s,1.16.1,Easy,F3,JellySquid,3 months ago
272nd,triple6kono,28m 58s 250ms,28m 58s 250ms,1.16.1,Easy,F3,Vanilla,1 week ago
273rd,Zolstice,29m 52s 000ms,28m 58s 000ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
274th,treeno,28m 58s 800ms,28m 58s 800ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
275th,Kuzeyli,29m 18s 620ms,29m 01s 550ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
276th,Bremu,29m 07s 550ms,29m 01s 800ms,1.16.1,Normal,F3,Optifine,5 months ago
277th,Chrilletz,29m 07s,29m 07s,1.16.1,Easy,F3,JellySquid,4 months ago
278th,HockeyLover469,29m 12s 057ms,29m 09s 085ms,1.16.1,Normal,F3,Vanilla,2 months ago
279th,Denry,31m 27s 440ms,29m 12s 300ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
280th,rhubarbs,29m 20s 480ms,29m 15s 400ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
281st,tjthings,29m 27s 100ms,29m 19s 400ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
282nd,F1LIPINO,29m 19s 467ms,29m 19s 467ms,1.16.1,Easy,F3,JellySquid,1 week ago
283rd,Coopa,29m 20s 290ms,29m 20s 290ms,1.16.1,Normal,No F3,JellySquid,1 month ago
284th,Greenyy,29m 25s 099ms,29m 21s 035ms,1.16.1,Easy,F3,Vanilla,1 month ago
285th,ADANDOC,29m 26s 040ms,29m 21s 040ms,1.16.1,Normal,F3,Vanilla,2 months ago
286th,PhantomBird,29m 30s 930ms,29m 24s 420ms,1.16.1,Easy,F3,JellySquid,2 months ago
287th,zipfile,29m 28s 084ms,29m 26s 085ms,1.16.1,Normal,F3,JellySquid,1 month ago
288th,Blyde_,29m 41s 670ms,29m 29s 030ms,1.16.1,Easy,F3,Vanilla,3 months ago
289th,thebuggy9000,29m 30s 092ms,29m 30s 092ms,1.16.1,Easy,F3,Vanilla,2 months ago
290th,Landslide88,30m 03s 533ms,29m 30s 750ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
291st,legendaryrobocat,29m 31s,29m 31s,1.16.1,Normal,F3,Vanilla,5 months ago
292nd,Austiin,29m 33s 970ms,29m 31s 600ms,1.16.1,Easy,F3,Vanilla,1 month ago
293rd,MisterSuess,29m 31s 093ms,29m 32s 005ms,1.16,Easy,F3,Vanilla,1 month ago
294th,FireWolf,29m 44s,29m 37s,1.16.1,Easy,F3,Vanilla,3 months ago
295th,Vukasz,29m 52s 580ms,29m 41s 500ms,1.16.1,Normal,F3,JellySquid,4 months ago
296th,PrinceofSha,29m 43s 000ms,29m 43s 000ms,1.16.1,Normal,F3,Vanilla,2 months ago
297th,BennyD,29m 52s 167ms,29m 44s 050ms,1.16.1,Easy,F3,JellySquid,2 months ago
298th,sl1dr,29m 46s 053ms,29m 44s 800ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
299th,Blazing_Shade,29m 47s,29m 47s,1.16.1,Normal,F3,Vanilla,4 months ago
300th,ttvCuffep,29m 49s 046ms,29m 49s 046ms,1.16.1,Normal,F3,JellySquid,3 months ago
301st,nwolc,30m 08s 020ms,29m 50s 500ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
302nd,TJBirrd,29m 52s 082ms,29m 52s 082ms,1.16.1,Easy,F3,Vanilla,2 months ago
303rd,hasjberg,29m 53s 650ms,29m 53s 650ms,1.16.1,Normal,F3,Vanilla,2 months ago
304th,BlueCrystal004,29m 54s,29m 54s,1.16.1,Normal,No F3,Vanilla,2 months ago
305th,Muhammad_Sban,29m 59s,29m 56s,1.16.1,Normal,F3,JellySquid,1 week ago
306th,ArtisticGenius1,30m 00s 013ms,29m 56s 075ms,1.16.1,Normal,F3,JellySquid,3 months ago
307th,Impulse_Fun,30m 17s 530ms,30m 07s 240ms,1.16.1,Easy,F3,Vanilla,1 month ago
308th,St0rmD,30m 07s 940ms,30m 07s 940ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
309th,Torsoto,30m 28s,30m 08s,1.16.1,Easy,F3,JellySquid,2 months ago
310th,TeHax,30m 12s 520ms,30m 12s 400ms,1.16.1,Normal,F3,JellySquid,2 months ago
311th,FrankieSR,30m 13s 016ms,30m 12s 550ms,1.16.1,Normal,F3,Vanilla,2 months ago
312th,Kikiitta,30m 13s 006ms,30m 13s 006ms,1.16.1,Normal,F3,Vanilla,2 months ago
313th,stevecrafts,30m 14s,30m 14s,1.16.1,Normal,F3,JellySquid,2 months ago
314th,jimmy50908,30m 34s 660ms,30m 15s 050ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
315th,ThanhSchaefer,30m 16s 440ms,30m 15s 300ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
316th,Saltana,30m 21s 360ms,30m 16s 300ms,1.16.1,Easy,F3,Vanilla,5 months ago
317th,Hurzz,30m 46s,30m 18s,1.16.1,Normal,F3,JellySquid,5 months ago
318th,Aspect30,30m 23s 100ms,30m 18s 540ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
319th,wafflekiller5876,30m 21s 062ms,30m 19s 095ms,1.16.1,Normal,F3,JellySquid,2 months ago
320th,Cleanfel,30m 32s 330ms,30m 21s 800ms,1.16.1,Normal,F3,Vanilla,1 month ago
321st,Redstone_M,31m 57s,30m 23s 600ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
322nd,sympli,30m 38s 990ms,30m 30s 550ms,1.16.1,Easy,F3,JellySquid,5 months ago
323rd,Dready,30m 35s 053ms,30m 31s 025ms,1.16.1,Easy,F3,Vanilla,4 weeks ago
324th,Torrecilha,30m 31s 400ms,30m 31s 400ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
325th,JemBren,30m 44s 790ms,30m 34s 750ms,1.16.1,Normal,F3,Vanilla,1 week ago
326th,whit3andblack,30m 12s 009ms,30m 36s,1.16.1,Easy,F3,JellySquid,2 months ago
327th,dinojoaco,30m 54s 057ms,30m 41s 065ms,1.16.1,Easy,F3,JellySquid,2 months ago
328th,Rahn,30m 46s 057ms,30m 44s 047ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
329th,SnoopTurducken,31m 25s 610ms,30m 45s 700ms,1.16.1,Normal,F3,JellySquid,1 month ago
330th,TurbiiniSpurg,30m 47s,30m 47s,1.16.1,Easy,F3,JellySquid,3 months ago
331st,Fantom548,30m 52s,30m 52s,1.16.1,Normal,F3,Vanilla,1 month ago
332nd,temp_gd,30m 54s 730ms,30m 52s 980ms,1.16.1,Easy,F3,Vanilla,1 month ago
333rd,Maorro,31m 01s 970ms,30m 54s 750ms,1.16.1,Easy,F3,JellySquid,1 month ago
334th,Tomay0,30m 59s 740ms,30m 59s 050ms,1.16.1,Easy,F3,Vanilla,1 month ago
335th,YaLikeJess,31m 03s 740ms,31m 03s 740ms,1.16.1,Normal,F3,Vanilla,3 weeks ago
336th,sumtingwng17,31m 13s 021ms,31m 12s 070ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
337th,Dratinia,31m 13s,31m 13s,1.16.1,Normal,F3,JellySquid,1 week ago
338th,Copy,31m 16s 030ms,31m 15s 950ms,1.16.1,Easy,F3,JellySquid,2 months ago
339th,Raaavel,31m 23s 009ms,31m 17s 035ms,1.16.1,Normal,F3,JellySquid,3 months ago
340th,Marlin,31m 33s 140ms,31m 18s 350ms,1.16.1,Normal,F3,JellySquid,1 week ago
341st,SardsSan,31m 22s 012ms,31m 20s 090ms,1.16.1,Easy,F3,Vanilla,1 month ago
342nd,landmonkey,31m 26s 025ms,31m 26s 011ms,1.16.1,Easy,F3,Vanilla,2 months ago
343rd,DaveGax,31m 35s 030ms,31m 30s 600ms,1.16.1,Easy,F3,JellySquid,1 month ago
344th,Falsepog,31m 41s 440ms,31m 38s 700ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
345th,TheGreatAli,32m 34s 081ms,31m 39s 030ms,1.16.1,Easy,F3,JellySquid,1 month ago
346th,Nikolech,31m 49s 630ms,31m 43s 050ms,1.16.1,Normal,F3,Vanilla,2 months ago
347th,ItzBurb,33m 26s 091ms,31m 47s 040ms,1.16.1,Normal,F3,Vanilla,1 month ago
348th,Pesh,31m 47s 067ms,31m 47s 067ms,1.16.1,Normal,F3,Vanilla,4 months ago
349th,ItzToxic,32m 31s 930ms,31m 56s,1.16.1,Normal,F3,JellySquid,3 weeks ago
350th,Aorean,32m 42s 043ms,31m 59s 065ms,1.16.1,Normal,F3,JellySquid,1 week ago
351st,brankoj123,32m 04s 060ms,32m 01s 090ms,1.16.1,Easy,F3,Vanilla,1 week ago
352nd,clappedlogan2k,32m 05s 054ms,32m 05s 054ms,1.16.1,Easy,F3,Vanilla,2 months ago
353rd,Torje,32m 22s,32m 09s 700ms,1.16.1,Normal,F3,JellySquid,2 months ago
354th,GageTM,32m 14s 051ms,32m 14s 051ms,1.16.1,Easy,F3,Vanilla,2 months ago
355th,eOliver,32m 56s,32m 20s 450ms,1.16.1,Easy,F3,JellySquid,1 month ago
356th,Novawolf,32m 27s 020ms,32m 21s 550ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
357th,Kommunarka,32m 22s 008ms,32m 22s 008ms,1.16.1,Normal,F3,Vanilla,1 month ago
358th,Soky,32m 23s 047ms,32m 22s 029ms,1.16.1,Easy,F3,Vanilla,1 month ago
359th,Yosherax,32m 52s 590ms,32m 23s 200ms,1.16.1,Easy,F3,JellySquid,3 months ago
360th,speedycube64,32m 39s,32m 29s 450ms,1.16.1,Easy,F3,JellySquid,2 months ago
361st,muma,32m 37s 660ms,32m 35s 884ms,1.16.1,Easy,F3,JellySquid,1 week ago
362nd,Hellder,33m 07s 006ms,32m 36s 030ms,1.16.1,Easy,F3,Vanilla,1 month ago
363rd,spacemanYT,32m 38s 280ms,32m 38s 280ms,1.16.1,Easy,F3,JellySquid,1 month ago
364th,lasagna666,32m 47s 052ms,32m 40s 060ms,1.16,Easy,F3,JellySquid,1 month ago
365th,Alejely,32m 42s 061ms,32m 42s 061ms,1.16.1,Easy,F3,Vanilla,3 months ago
366th,Degasaur,32m 46s 700ms,32m 44s 450ms,1.16.1,Normal,F3,Vanilla,1 month ago
367th,NotSoSavvyy,32m 46s 700ms,32m 45s 600ms,1.16.1,Normal,F3,JellySquid,2 months ago
368th,Scorppp,33m 12s 670ms,32m 51s 950ms,1.16.1,Easy,F3,JellySquid,1 week ago
369th,LuchiBuchi,32m 54s 840ms,32m 52s 810ms,1.16.1,Easy,F3,Vanilla,2 months ago
370th,neoprene,32m 58s 697ms,32m 53s 950ms,1.16.1,Easy,F3,JellySquid,1 month ago
371st,Source,34m 03s 610ms,32m 57s,1.16.1,Easy,F3,JellySquid,2 weeks ago
372nd,get_robbed,32m 58s 840ms,32m 57s 390ms,1.16.1,Easy,F3,Vanilla,1 month ago
373rd,WATTSONI,32m 58s 260ms,32m 57s 850ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
374th,FarD0x,33m 00s 007ms,33m 00s 007ms,1.16.1,Normal,F3,Vanilla,3 months ago
375th,Pfluger,33m 01s 046ms,33m 02s 040ms,1.16.1,Easy,F3,Vanilla,1 month ago
376th,SuPurplePlatypus,33m 10s 430ms,33m 06s 650ms,1.16.1,Easy,F3,Vanilla,2 months ago
377th,Paulluap,33m 10s 030ms,33m 10s 030ms,1.16.1,Easy,F3,JellySquid,1 month ago
378th,Aeroshide,33m 14s 960ms,33m 14s 600ms,1.16.1,Easy,F3,JellySquid,1 month ago
379th,EatTacos,33m 16s 022ms,33m 16s 022ms,1.16.1,Easy,F3,JellySquid,1 month ago
380th,Scoria,33m 17s 760ms,33m 17s 760ms,1.16.1,Normal,F3,Optifine,5 months ago
381st,o3oh,34m 18s 082ms,33m 18s 020ms,1.16.1,Easy,F3,Vanilla,2 months ago
382nd,Airships,33m 23s 051ms,33m 18s 095ms,1.16.1,Normal,F3,JellySquid,3 months ago
383rd,grax,33m 24s 560ms,33m 19s,1.16.1,Normal,F3,JellySquid,5 months ago
384th,LaRuim,33m 57s 085ms,33m 19s 060ms,1.16.1,Easy,F3,JellySquid,1 month ago
385th,lindenkron,33m 20s 400ms,33m 19s 900ms,1.16.1,Easy,F3,JellySquid,2 months ago
386th,Kodeama,33m 36s 960ms,33m 23s,1.16.1,Easy,F3,JellySquid,1 month ago
387th,_Ileven,33m 29s 167ms,33m 24s 950ms,1.16.1,Easy,F3,JellySquid,1 month ago
388th,Kaug,33m 30s 300ms,33m 27s 300ms,1.16.1,Normal,F3,JellySquid,1 month ago
389th,10CPS,33m 53s 018ms,33m 36s 090ms,1.16.1,Easy,F3,JellySquid,1 month ago
390th,Rekford,33m 39s 830ms,33m 39s 830ms,1.16.1,Easy,No F3,Optifine,6 months ago
391st,Snakezy,33m 48s 250ms,33m 40s 150ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
392nd,CuukieKun,33m 44s,33m 44s,1.16.1,Normal,F3,Vanilla,2 months ago
392nd,Nqth,33m 45s 006ms,33m 44s,1.16.1,Easy,F3,JellySquid,5 months ago
394th,Desticy,33m 47s 150ms,33m 47s 150ms,1.16.1,Easy,F3,JellySquid,1 month ago
395th,Krerey,33m 47s 700ms,33m 47s 700ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
396th,acatterz,34m 06s 850ms,33m 51s 090ms,1.16.1,Easy,F3,JellySquid,2 months ago
397th,feathersoc,33m 56s 011ms,33m 55s 052ms,1.16.1,Easy,F3,Vanilla,2 months ago
398th,1Kyle3,33m 55s 540ms,33m 55s 540ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
399th,kaori_hattori,33m 57s,33m 57s,1.16.1,Easy,F3,JellySquid,1 month ago
400th,Rildom,34m 02s 038ms,33m 57s 075ms,1.16,Easy,F3,Vanilla,1 month ago
401st,Specnr,34m 31s 740ms,33m 57s 650ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
402nd,zhaopoww,34m 04s,33m 59s,1.16.1,Easy,,Vanilla,1 month ago
403rd,veifv,34m 00s 500ms,34m 00s 500ms,1.16.1,Normal,F3,Vanilla,2 months ago
404th,Mikemino321,34m 02s,34m 02s,1.16,Normal,F3,Vanilla,3 months ago
404th,squeggtv,34m 18s 033ms,34m 02s,1.16.1,Easy,F3,JellySquid,3 weeks ago
406th,Videogames_Man,34m 12s 015ms,34m 04s 050ms,1.16.1,Easy,F3,Vanilla,1 month ago
407th,tsunasing,34m 04s 083ms,34m 04s 083ms,1.16.1,Easy,F3,Vanilla,1 month ago
408th,nick6z,34m 09s 880ms,34m 09s 400ms,1.16.1,Easy,F3,JellySquid,2 months ago
409th,Eselous,34m 14s 380ms,34m 14s 380ms,1.16.1,Normal,F3,Vanilla,5 months ago
410th,enozo,34m 29s 640ms,34m 14s 700ms,1.16.1,Easy,F3,JellySquid,2 months ago
411th,jjcole0915,34m 16s,34m 16s,1.16.1,Normal,F3,Vanilla,2 months ago
412th,LimeJuiceOkay,34m 20s 300ms,34m 18s 300ms,1.16.1,Easy,F3,JellySquid,1 month ago
413th,MarweX,34m 27s 020ms,34m 26s,1.16,Easy,F3,Vanilla,1 month ago
414th,Sprooky,34m 26s 075ms,34m 26s 075ms,1.16.1,Easy,F3,Vanilla,2 months ago
415th,Spitfire57,34m 27s 000ms,34m 27s 000ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
416th,Howdy,34m 28s 660ms,34m 28s 660ms,1.16.1,Normal,F3,JellySquid,1 week ago
417th,DaveyTime,34m 32s 037ms,34m 32s 037ms,1.16.1,Easy,F3,Vanilla,2 months ago
418th,Jace174,34m 47s 430ms,34m 38s 350ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
419th,duckfood,34m 51s 360ms,34m 42s 550ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
420th,ZMCNikolai,34m 54s,34m 47s 069ms,1.16.1,Normal,F3,Vanilla,5 months ago
421st,Syelent,34m 54s 330ms,34m 47s 550ms,1.16.1,Easy,F3,Vanilla,1 month ago
422nd,2Senya1,34m 09s 097ms,34m 48s,1.16.1,Easy,F3,JellySquid,1 month ago
423rd,danhem9,35m 20s 100ms,34m 51s 850ms,1.16.1,Easy,F3,JellySquid,1 month ago
424th,Sp3dward,34m 57s 100ms,34m 53s 167ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
425th,Teddiursa1234,34m 56s,34m 56s,1.16.1,Normal,F3,Vanilla,1 month ago
426th,Hinkeding,35m 07s,35m 06s,1.16.1,Normal,F3,Vanilla,5 months ago
427th,ErikTheGoose,35m 30s 077ms,35m 19s 023ms,1.16.1,Normal,F3,Vanilla,1 month ago
428th,randomnin7,35m 24s 570ms,35m 22s 500ms,1.16.1,Normal,F3,Vanilla,1 month ago
429th,Zochs,35m 22s 860ms,35m 22s 860ms,1.16.1,Normal,F3,JellySquid,4 months ago
430th,ybot76,35m 25s 680ms,35m 25s 680ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
431st,Yahiamice,35m 31s 850ms,35m 31s 850ms,1.16.1,Easy,F3,JellySquid,1 month ago
432nd,SmallestBeanie,35m 42s 033ms,35m 37s 065ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
433rd,Felsway,36m 23s 030ms,35m 37s 096ms,1.16.1,Normal,F3,JellySquid,2 months ago
434th,V_OIDD,36m 08s 460ms,35m 37s 460ms,1.16.1,Easy,F3,JellySquid,3 months ago
435th,Kearkor,36m 48s 300ms,35m 39s 700ms,1.16.1,Normal,F3,JellySquid,2 months ago
436th,ConnorSora,35m 43s 025ms,35m 43s 025ms,1.16.1,Easy,F3,JellySquid,2 months ago
437th,Aang,35m 43s 097ms,35m 43s 097ms,1.16.1,Normal,F3,JellySquid,5 months ago
438th,monkei_man,35m 44s 370ms,35m 44s 370ms,1.16.1,Normal,F3,JellySquid,1 month ago
439th,Greencat9,35m 48s 670ms,35m 48s 670ms,1.16.1,Easy,F3,Vanilla,4 weeks ago
440th,CRAZYMOE,35m 52s 800ms,35m 53s 150ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
441st,WigglerMC,35m 58s 750ms,35m 58s 750ms,1.16.1,Easy,F3,Vanilla,2 months ago
442nd,uacrze,35m 59s 001ms,35m 59s 001ms,1.16.1,Easy,F3,Vanilla,2 months ago
443rd,JUSTVINII,36m 13s 400ms,36m 05s 350ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
444th,Cherryphil,36m 12s 350ms,36m 05s 600ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
445th,GameNight,36m 07s,36m 07s,1.16.4,Normal,F3,Vanilla,2 weeks ago
446th,CSherman,36m 23s 050ms,36m 10s 650ms,1.16.1,Normal,F3,JellySquid,1 month ago
447th,Robert1,36m 28s 033ms,36m 11s 200ms,1.16.1,Easy,F3,JellySquid,3 months ago
448th,exyloe,36m 28s 720ms,36m 16s 050ms,1.16.1,Easy,F3,JellySquid,1 month ago
449th,Andemu,36m 34s 930ms,36m 25s 350ms,1.16.1,Normal,F3,Vanilla,1 month ago
450th,Gidan,36m 27s,36m 27s,1.16.1,Easy,F3,JellySquid,4 months ago
451st,LucPerecOgurec,36m 27s 084ms,36m 27s 084ms,,Easy,F3,JellySquid,1 month ago
452nd,Vivek295,37m 52s 630ms,36m 30s 050ms,1.16.1,Easy,F3,JellySquid,1 month ago
